
DISTANCE,activity_id,HEARTRATE,SPEED,STEPS_PER_MINUTE,LATITUDE,repetitions,temperature,INSTANT_TORQUE_CRANK,timestamp_epoch,ELEVATION,POWER,STRIDES,wheel_torque,CALORIEBURN,LONGITUDE,CADENCE,heading,STEP_RATE
2.901535987854004,4,106,1.7813622951507568,0,40.5528564453125,0,0,0,1344638608196,115,0,0,0,0,-74.8836441040039,0,338,0
4.610438346862793,4,106,1.831484317779541,0,40.55287170410156,0,0,0,1344638609174,115,0,0,0,0,-74.88363647460938,0,352,0
6.292447090148926,4,107,1.9268327951431274,0,40.552886962890625,0,0,0,1344638610162,115,0,0,0,0,-74.88363647460938,0,358,0
8.352307319641113,4,106,2.057608127593994,0,40.55290603637695,0,0,0,1344638611142,114,0,0,0,0,-74.88363647460938,0,354,0
11.14523983001709,4,105,2.2979674339294434,0,40.55292892456055,0,0,0,1344638612129,114,0,0,0,0,-74.88365173339844,0,348,0
13.816399574279785,4,104,2.5739283561706543,0,40.55295181274414,0,0,0,1344638613115,114,0,0,0,0,-74.8836669921875,0,344,0
16.30990219116211,4,103,2.599919557571411,0,40.55297088623047,0,0,0,1344638614100,114,0,0,0,0,-74.88368225097656,0,342,0
18.683074951171875,4,102,2.3964459896087646,0,40.5529899597168,0,0,0,1344638615086,114,0,0,0,0,-74.88369750976562,0,340,0
21.33075714111328,4,102,2.3058345317840576,0,40.553009033203125,0,0,0,1344638616093,114,0,0,0,0,-74.88371276855469,0,332,0
24.00210952758789,4,103,2.454732656478882,0,40.55302429199219,0,0,0,1344638617060,115,0,0,0,0,-74.88373565673828,0,328,0
26.835174560546875,4,104,2.688610315322876,0,40.553035736083984,0,0,0,1344638618047,115,0,0,0,1,-74.8837661743164,0,310,0
29.529903411865234,4,106,2.774794816970825,0,40.553043365478516,0,0,0,1344638619029,115,0,0,0,1,-74.88379669189453,0,302,0
32.12744140625,4,107,2.6761627197265625,0,40.55304718017578,0,0,0,1344638620015,115,0,0,0,1,-74.88382720947266,0,294,0
34.847145080566406,4,108,2.612513303756714,0,40.55304718017578,0,0,0,1344638621001,115,0,0,0,1,-74.88385772705078,0,284,0
37.7227783203125,4,110,2.6991939544677734,0,40.553043365478516,0,0,0,1344638621986,115,0,0,0,1,-74.88389587402344,0,276,0
40.65739059448242,4,111,2.828381061553955,0,40.55303955078125,0,0,0,1344638622966,115,0,0,0,1,-74.88392639160156,0,268,0
43.681251525878906,4,113,2.914921760559082,0,40.55303192138672,0,0,0,1344638623955,115,0,0,0,1,-74.88396453857422,0,264,0
46.708980560302734,4,115,2.960848569869995,0,40.55302429199219,0,0,0,1344638624940,115,0,0,0,1,-74.88399505615234,0,262,0
49.777931213378906,4,116,2.9898009300231934,0,40.55302429199219,0,0,0,1344638625924,115,0,0,0,1,-74.884033203125,0,264,0
52.908119201660156,4,118,3.0307493209838867,0,40.55302047729492,0,0,0,1344638626908,116,0,0,0,2,-74.88407135009766,0,264,0
56.085044860839844,4,119,3.0712008476257324,0,40.553016662597656,0,0,0,1344638627892,116,0,0,0,2,-74.88410186767578,0,264,0
59.26304626464844,4,121,3.096719980239868,0,40.55301284790039,0,0,0,1344638628878,116,0,0,0,2,-74.88414001464844,0,262,0
62.453125,4,121,3.112689733505249,0,40.55300521850586,0,0,0,1344638629869,116,0,0,0,2,-74.8841781616211,0,260,0
65.64460754394531,4,122,3.117725133895874,0,40.55299758911133,0,0,0,1344638630850,116,0,0,0,2,-74.88421630859375,0,258,0
68.81981658935547,4,123,3.1102616786956787,0,40.55299377441406,0,0,0,1344638631834,117,0,0,0,2,-74.8842544555664,0,258,0
71.97673797607422,4,123,3.1003220081329346,0,40.55298614501953,0,0,0,1344638632823,117,0,0,0,2,-74.88429260253906,0,260,0
75.163330078125,4,123,3.102240562438965,0,40.55298614501953,0,0,0,1344638633802,117,0,0,0,2,-74.88433074951172,0,262,0
78.36382293701172,4,124,3.1152257919311523,0,40.552982330322266,0,0,0,1344638634790,117,0,0,0,3,-74.88436126708984,0,264,0
81.57835388183594,4,124,3.1361732482910156,0,40.552978515625,0,0,0,1344638635774,117,0,0,0,3,-74.8843994140625,0,262,0
84.8001480102539,4,125,3.147566795349121,0,40.55297088623047,0,0,0,1344638636756,117,0,0,0,3,-74.88443756103516,0,258,0
88.1673355102539,4,126,3.1332170963287354,0,40.55295181274414,0,0,0,1344638637744,117,0,0,0,3,-74.88446807861328,0,244,0
91.47566223144531,4,127,3.1484110355377197,0,40.55293273925781,0,0,0,1344638638729,117,0,0,0,3,-74.8844985961914,0,236,0
95.13214874267578,4,128,3.307636022567749,0,40.55290985107422,0,0,0,1344638639714,117,0,0,0,3,-74.88453674316406,0,230,0
99.09248352050781,4,129,3.61344051361084,0,40.55288314819336,0,0,0,1344638640617,117,0,0,0,3,-74.88456726074219,0,224,0
103.17691802978516,4,129,3.8791091442108154,0,40.552852630615234,0,0,0,1344638641626,117,0,0,0,4,-74.88459014892578,0,214,0
107.12201690673828,4,130,3.960782289505005,0,40.552818298339844,0,0,0,1344638642623,117,0,0,0,4,-74.88460540771484,0,208,0
111.4546127319336,4,131,4.019521713256836,0,40.55278015136719,0,0,0,1344638643614,117,0,0,0,4,-74.88461303710938,0,190,0
116.1327896118164,4,131,4.273106098175049,0,40.552738189697266,0,0,0,1344638644614,117,0,0,0,4,-74.88461303710938,0,178,0
121.11730194091797,4,131,4.634185314178467,0,40.552696228027344,0,0,0,1344638645617,117,0,0,0,4,-74.88460540771484,0,174,0
